Testing drawCard()

ERROR DRAWING FROM A NON-EMPTY DECK: total players: 2, player: 0, expected game.handCount: 1, expected game.deckCount: 9, actual game.handCount: 6, actual game.deckCount: 4

ERROR DRAWING FROM A NON-EMPTY DECK: total players: 2, player: 0, expected game.handCount: 2, expected game.deckCount: 8, actual game.handCount: 7, actual game.deckCount: 3

ERROR DRAWING FROM A NON-EMPTY DECK: total players: 2, player: 0, expected game.handCount: 3, expected game.deckCount: 7, actual game.handCount: 8, actual game.deckCount: 2

ERROR DRAWING FROM A NON-EMPTY DECK: total players: 2, player: 0, expected game.handCount: 4, expected game.deckCount: 6, actual game.handCount: 9, actual game.deckCount: 1

ERROR DRAWING FROM A NON-EMPTY DECK: total players: 2, player: 0, expected game.handCount: 5, expected game.deckCount: 5, actual game.handCount: 10, actual game.deckCount: 0

ERROR DRAWING FROM A NON-EMPTY DECK: total players: 2, player: 0, expected game.handCount: 6, expected game.deckCount: 4, actual game.handCount: 10, actual game.deckCount: 0

ERROR DRAWING FROM A NON-EMPTY DECK: total players: 2, player: 0, expected game.handCount: 7, expected game.deckCount: 3, actual game.handCount: 10, actual game.deckCount: 0

ERROR DRAWING FROM A NON-EMPTY DECK: total players: 2, player: 0, expected game.handCount: 8, expected game.deckCount: 2, actual game.handCount: 10, actual game.deckCount: 0

ERROR DRAWING FROM A NON-EMPTY DECK: total players: 2, player: 0, expected game.handCount: 9, expected game.deckCount: 1, actual game.handCount: 10, actual game.deckCount: 0

ERROR DRAWING FROM A NON-EMPTY DECK: total players: 3, player: 0, expected game.handCount: 1, expected game.deckCount: 9, actual game.handCount: 6, actual game.deckCount: 4

ERROR DRAWING FROM A NON-EMPTY DECK: total players: 3, player: 0, expected game.handCount: 2, expected game.deckCount: 8, actual game.handCount: 7, actual game.deckCount: 3

ERROR DRAWING FROM A NON-EMPTY DECK: total players: 3, player: 0, expected game.handCount: 3, expected game.deckCount: 7, actual game.handCount: 8, actual game.deckCount: 2

ERROR DRAWING FROM A NON-EMPTY DECK: total players: 3, player: 0, expected game.handCount: 4, expected game.deckCount: 6, actual game.handCount: 9, actual game.deckCount: 1

ERROR DRAWING FROM A NON-EMPTY DECK: total players: 3, player: 0, expected game.handCount: 5, expected game.deckCount: 5, actual game.handCount: 10, actual game.deckCount: 0

ERROR DRAWING FROM A NON-EMPTY DECK: total players: 3, player: 0, expected game.handCount: 6, expected game.deckCount: 4, actual game.handCount: 10, actual game.deckCount: 0

ERROR DRAWING FROM A NON-EMPTY DECK: total players: 3, player: 0, expected game.handCount: 7, expected game.deckCount: 3, actual game.handCount: 10, actual game.deckCount: 0

ERROR DRAWING FROM A NON-EMPTY DECK: total players: 3, player: 0, expected game.handCount: 8, expected game.deckCount: 2, actual game.handCount: 10, actual game.deckCount: 0

ERROR DRAWING FROM A NON-EMPTY DECK: total players: 3, player: 0, expected game.handCount: 9, expected game.deckCount: 1, actual game.handCount: 10, actual game.deckCount: 0

ERROR DRAWING FROM A NON-EMPTY DECK: total players: 4, player: 0, expected game.handCount: 1, expected game.deckCount: 9, actual game.handCount: 6, actual game.deckCount: 4

ERROR DRAWING FROM A NON-EMPTY DECK: total players: 4, player: 0, expected game.handCount: 2, expected game.deckCount: 8, actual game.handCount: 7, actual game.deckCount: 3

ERROR DRAWING FROM A NON-EMPTY DECK: total players: 4, player: 0, expected game.handCount: 3, expected game.deckCount: 7, actual game.handCount: 8, actual game.deckCount: 2

ERROR DRAWING FROM A NON-EMPTY DECK: total players: 4, player: 0, expected game.handCount: 4, expected game.deckCount: 6, actual game.handCount: 9, actual game.deckCount: 1

ERROR DRAWING FROM A NON-EMPTY DECK: total players: 4, player: 0, expected game.handCount: 5, expected game.deckCount: 5, actual game.handCount: 10, actual game.deckCount: 0

ERROR DRAWING FROM A NON-EMPTY DECK: total players: 4, player: 0, expected game.handCount: 6, expected game.deckCount: 4, actual game.handCount: 10, actual game.deckCount: 0

ERROR DRAWING FROM A NON-EMPTY DECK: total players: 4, player: 0, expected game.handCount: 7, expected game.deckCount: 3, actual game.handCount: 10, actual game.deckCount: 0

ERROR DRAWING FROM A NON-EMPTY DECK: total players: 4, player: 0, expected game.handCount: 8, expected game.deckCount: 2, actual game.handCount: 10, actual game.deckCount: 0

ERROR DRAWING FROM A NON-EMPTY DECK: total players: 4, player: 0, expected game.handCount: 9, expected game.deckCount: 1, actual game.handCount: 10, actual game.deckCount: 0

Function 'main'
Lines executed:93.75% of 16
Branches executed:100.00% of 12
Taken at least once:83.33% of 12
Calls executed:83.33% of 6

File 'unittest1.c'
Lines executed:93.75% of 16
Branches executed:100.00% of 12
Taken at least once:83.33% of 12
Calls executed:83.33% of 6
Creating 'unittest1.c.gcov'

Testing discardCard():

ERROR IN CARDS DISCARDED: player: 0, expected game.handCount: 9, expected game.discardCount: 1, actual game.handCount: 9, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 0, expected game.handCount: 8, expected game.discardCount: 2, actual game.handCount: 8, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 0, expected game.handCount: 7, expected game.discardCount: 3, actual game.handCount: 7, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 0, expected game.handCount: 6, expected game.discardCount: 4, actual game.handCount: 6, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 0, expected game.handCount: 5, expected game.discardCount: 5, actual game.handCount: 5, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 0, expected game.handCount: 4, expected game.discardCount: 6, actual game.handCount: 4, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 0, expected game.handCount: 3, expected game.discardCount: 7, actual game.handCount: 3, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 0, expected game.handCount: 2, expected game.discardCount: 8, actual game.handCount: 2, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 0, expected game.handCount: 1, expected game.discardCount: 9, actual game.handCount: 1, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 0, expected game.handCount: 0, expected game.discardCount: 10, actual game.handCount: 0, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 1, expected game.handCount: 9, expected game.discardCount: 1, actual game.handCount: 9, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 1, expected game.handCount: 8, expected game.discardCount: 2, actual game.handCount: 8, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 1, expected game.handCount: 7, expected game.discardCount: 3, actual game.handCount: 7, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 1, expected game.handCount: 6, expected game.discardCount: 4, actual game.handCount: 6, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 1, expected game.handCount: 5, expected game.discardCount: 5, actual game.handCount: 5, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 1, expected game.handCount: 4, expected game.discardCount: 6, actual game.handCount: 4, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 1, expected game.handCount: 3, expected game.discardCount: 7, actual game.handCount: 3, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 1, expected game.handCount: 2, expected game.discardCount: 8, actual game.handCount: 2, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 1, expected game.handCount: 1, expected game.discardCount: 9, actual game.handCount: 1, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 1, expected game.handCount: 0, expected game.discardCount: 10, actual game.handCount: 0, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 0, expected game.handCount: 9, expected game.discardCount: 1, actual game.handCount: 9, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 0, expected game.handCount: 8, expected game.discardCount: 2, actual game.handCount: 8, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 0, expected game.handCount: 7, expected game.discardCount: 3, actual game.handCount: 7, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 0, expected game.handCount: 6, expected game.discardCount: 4, actual game.handCount: 6, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 0, expected game.handCount: 5, expected game.discardCount: 5, actual game.handCount: 5, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 0, expected game.handCount: 4, expected game.discardCount: 6, actual game.handCount: 4, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 0, expected game.handCount: 3, expected game.discardCount: 7, actual game.handCount: 3, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 0, expected game.handCount: 2, expected game.discardCount: 8, actual game.handCount: 2, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 0, expected game.handCount: 1, expected game.discardCount: 9, actual game.handCount: 1, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 0, expected game.handCount: 0, expected game.discardCount: 10, actual game.handCount: 0, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 1, expected game.handCount: 9, expected game.discardCount: 1, actual game.handCount: 9, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 1, expected game.handCount: 8, expected game.discardCount: 2, actual game.handCount: 8, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 1, expected game.handCount: 7, expected game.discardCount: 3, actual game.handCount: 7, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 1, expected game.handCount: 6, expected game.discardCount: 4, actual game.handCount: 6, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 1, expected game.handCount: 5, expected game.discardCount: 5, actual game.handCount: 5, actual game.discardCount: 0

ERROR IN CARDS DISCARDED: player: 1, expected game.handCount: 4, expected game.discardCount: 6, actual game.handCount: 4, actual game.discardCount: 0

